district,ALP_2CP,LNP_2CP,GRN_2CP,ON_2CP,IND_2CP,OTH_2CP
Box Hill,0.5723,0.4277,,,,
Bulleen,0.4406,0.5594,,,,
Glen Waverley,0.533,0.467,,,,
Ivanhoe,0.6275,0.3725,,,,
Bundoora,0.6269,0.3731,,,,
Bayswater,0.5423,0.4577,,,,
Croydon,0.4863,0.5137,,,,
Ringwood,0.5753,0.4247,,,,
Warrandyte,0.4569,0.5431,,,,
Eltham,0.59,0.41,,,,
Mill Park,0.6158,0.3842,,,,
Brunswick,0.3632,,0.6368,,,
Northcote,0.5022,,0.4978,,,
Melbourne,0.3981,,0.6019,,,
Richmond,0.4268,,0.5732,,,
Essendon,0.6245,0.3755,,,,
Pascoe Vale,0.5202,,0.4798,,,
Preston,0.5209,,0.4791,,,
Broadmeadows,0.655,0.345,,,,
Greenvale,0.5707,0.4293,,,,
Thomastown,0.66,0.34,,,,
Kalkallo,0.6645,0.3355,,,,
Clarinda,0.6019,0.3981,,,,
Mordialloc,0.5819,0.4181,,,,
Mulgrave,0.608,,,,0.392,
Rowville,0.4633,0.5367,,,,
Cranbourne,0.5897,0.4103,,,,
Dandenong,0.6827,0.3173,,,,
Narre Warren North,0.5876,0.4124,,,,
Narre Warren South,0.5827,0.4173,,,,
Frankston,0.5866,0.4134,,,,
Berwick,0.4529,0.5471,,,,
Carrum,0.5976,0.4024,,,,
Albert Park,0.6115,0.3885,,,,
Brighton,0.4487,0.5513,,,,
Caulfield,0.4793,0.5207,,,,
Prahran,,0.3799,0.6201,,,
Hawthorn,0.4826,0.5174,,,,
Kew,0.4602,0.5398,,,,
Malvern,0.4194,0.5806,,,,
Bentleigh,0.5804,0.4196,,,,
Sandringham,0.4497,0.5503,,,,
Ashwood,0.5615,0.4385,,,,
Oakleigh,0.6348,0.3652,,,,
Footscray,0.5424,,0.4576,,,
Williamstown,0.6344,0.3656,,,,
Laverton,0.6839,0.3161,,,,
Niddrie,0.5669,0.4331,,,,
St Albans,0.5956,0.4044,,,,
Kororoit,0.6452,0.3548,,,,
Point Cook,0.5834,0.4166,,,,
Sydenham,0.5876,0.4124,,,,
Tarneit,0.6228,0.3772,,,,
Sunbury,0.5641,0.4359,,,,
Werribee,0.6092,0.3908,,,,
Evelyn,0.446,0.554,,,,
Monbulk,0.5755,0.4245,,,,
Pakenham,0.5039,0.4961,,,,
Mornington,,0.507,,,0.493,
Nepean,0.4361,0.5639,,,,
Morwell,0.4558,0.5442,,,,
Gippsland East,0.2612,0.7405,,,,
Gippsland South,0.3445,0.6555,,,,
Bass,0.5024,0.4976,,,,
Hastings,0.5135,0.4865,,,,
Narracan,0.4074,0.5926,,,,
Yan Yean,0.5427,0.4573,,,,
Shepparton,,0.5679,,,0.4321,
Bendigo East,0.6085,0.3915,,,,
Bendigo West,0.646,0.354,,,,
Eildon,0.4301,0.5699,,,,
Euroa,0.4007,0.5993,,,,
Macedon,0.5954,0.4046,,,,
Benambra,,0.5094,,,0.4906,
Ovens Valley,0.3216,0.6784,,,,
Mildura,,0.5118,,,0.4882,
Murray Plains,0.2662,0.7338,,,,
Lara,0.6587,0.3413,,,,
Melton,0.5459,0.4541,,,,
Bellarine,0.5846,0.4154,,,,
Wendouree,0.6191,0.3809,,,,
Geelong,0.6471,0.3529,,,,
South Barwon,0.598,0.402,,,,
Eureka,0.5717,0.4283,,,,
Ripon,0.5299,0.4701,,,,
Lowan,0.2844,0.7156,,,,
Polwarth,0.4821,0.5179,,,,
South-West Coast,0.4195,0.5805,,,,
