Seat Name,Region,Seat Type,ALP_pre,LNP_pre,GRN_pre,IND_pre,OTH_pre,pre_total,alp_norm_pre,LNP_norm_pre,GRN_norm_pre,IND_norm_pre,OTH_norm_pre,ON_strength,ON_weight,ON_index_multiplier,ON_share,ALP_adj,LNP_adj,GRN_adj,ON_adj,IND_adj,OTH_adj,Adj_total,,Held by
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Hill,North-Eastern Metro,Middle Ring,29.01%,28.62%,14.35%,1.84%,1.78%,75.60%,38.38%,37.86%,18.98%,2.44%,2.35%,0.26,44.90%,48.06%,11.73%,33.22%,32.77%,16.43%,13.43%,2.11%,2.03%,100.00%,5,ALP
Bulleen,North-Eastern Metro,Middle Ring,21.53%,40.30%,11.16%,1.43%,1.18%,75.60%,28.48%,53.30%,14.76%,1.88%,1.56%,0.34,52.22%,55.89%,13.64%,24.13%,45.16%,12.51%,15.28%,1.60%,1.32%,100.00%,6,LNP
Glen Waverley,North-Eastern Metro,Middle Ring,28.76%,33.43%,9.68%,0.32%,3.42%,75.60%,38.04%,44.22%,12.80%,0.42%,4.52%,0.31,49.40%,52.88%,12.90%,32.49%,37.77%,10.93%,14.58%,0.36%,3.86%,100.00%,7,ALP
Ivanhoe,North-Eastern Metro,Middle Ring,31.41%,22.54%,18.50%,1.69%,1.46%,75.60%,41.55%,29.82%,24.48%,2.23%,1.93%,0.49,64.87%,69.43%,16.94%,33.94%,24.36%,20.00%,18.31%,1.82%,1.58%,100.00%,8,ALP
Bundoora,North-Eastern Metro,Middle Ring,37.48%,19.40%,12.31%,1.08%,5.32%,75.60%,49.58%,25.66%,16.29%,1.43%,7.04%,0.91,94.31%,100.95%,24.63%,37.40%,19.36%,12.29%,24.57%,1.08%,5.31%,100.00%,9,ALP
Bayswater,North-Eastern Metro,Outer Metro,28.95%,29.89%,8.17%,1.89%,6.70%,75.60%,38.30%,39.53%,10.81%,2.50%,8.87%,0.6,73.67%,78.85%,19.24%,30.53%,31.51%,8.61%,20.29%,1.99%,7.07%,100.00%,10,ALP
Croydon,North-Eastern Metro,Outer Metro,23.24%,35.07%,10.77%,0.32%,6.19%,75.60%,30.74%,46.39%,14.25%,0.42%,8.19%,0.6,73.66%,78.84%,19.24%,24.51%,36.98%,11.36%,20.28%,0.34%,6.53%,100.00%,11,LNP
Ringwood,North-Eastern Metro,Outer Metro,27.56%,27.52%,15.43%,0.32%,4.78%,75.60%,36.45%,36.40%,20.41%,0.42%,6.32%,0.36,54.43%,58.26%,14.22%,30.68%,30.64%,17.18%,15.83%,0.36%,5.32%,100.00%,12,ALP
Warrandyte,North-Eastern Metro,Outer Metro,21.55%,39.29%,11.82%,1.42%,1.52%,75.60%,28.50%,51.97%,15.63%,1.87%,2.02%,0.43,60.49%,64.74%,15.80%,23.58%,42.99%,12.93%,17.28%,1.55%,1.67%,100.00%,13,LNP
