"BOX HILL
(N-E METRO)",RAW,,,,,,,"BOX HILL
(N-E METRO)",SYNTHETIC,,,,,,
Middle ring,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,5,,Index,1,2,3,4,5,6,5
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,0.00%,0.00%,0.00%,0.00%,0.00%,,,LNP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
GRN,82.16%,17.84%,0.00%,0.00%,0.00%,,,GRN,78.06%,16.94%,0.00%,5.00%,0.00%,0.00%,100.00%
IND,8.79%,24.82%,12.41%,0.00%,53.98%,,,ON,12.00%,58.00%,5.00%,0.00%,6.00%,19.00%,100.00%
OTH,21.77%,48.64%,29.59%,0.00%,0.00%,,,IND,7.47%,21.10%,10.55%,15.00%,0.00%,45.88%,100.00%
,,,,,,,,OTH,13.06%,29.18%,17.75%,40.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"BULLEEN
(N-E METRO)",RAW,,,,,,,"BULLEEN
(N-E METRO)",SYNTHETIC,,,,,,
Middle ring,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,6,,Index,1,2,3,4,5,6,6
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,0.00%,0.00%,0.00%,0.00%,0.00%,,,LNP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
GRN,71.23%,28.77%,0.00%,0.00%,0.00%,,,GRN,67.67%,27.33%,0.00%,5.00%,0.00%,0.00%,100.00%
IND,8.69%,20.54%,20.70%,0.00%,50.08%,,,ON,12.00%,58.00%,5.00%,0.00%,6.00%,19.00%,100.00%
OTH,21.42%,47.45%,31.13%,0.00%,0.00%,,,IND,7.39%,17.46%,17.59%,15.00%,0.00%,42.57%,100.00%
,,,,,,,,OTH,12.85%,28.47%,18.68%,40.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"GLEN WAVERLEY
(N-E METRO)",RAW,,,,,,,"GLEN WAVERLEY
(N-E METRO)",SYNTHETIC,,,,,,
Middle ring,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,7,,Index,1,2,3,4,5,6,7
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,0.00%,0.00%,0.00%,0.00%,0.00%,,,LNP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
GRN,80.57%,19.43%,0.00%,0.00%,0.00%,,,GRN,76.54%,18.46%,0.00%,5.00%,0.00%,0.00%,100.00%
IND,0.00%,0.00%,0.00%,0.00%,0.00%,,,ON,12.00%,58.00%,5.00%,0.00%,6.00%,19.00%,100.00%
OTH,21.54%,41.36%,37.10%,0.00%,0.00%,,,IND,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,OTH,12.93%,24.82%,22.26%,40.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"IVANHOE
(N-E METRO)",RAW,,,,,,,"IVANHOE
(N-E METRO)",SYNTHETIC,,,,,,
Middle ring,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,8,,Index,1,2,3,4,5,6,8
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,0.00%,0.00%,0.00%,0.00%,0.00%,,,LNP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
GRN,85.23%,14.77%,0.00%,0.00%,0.00%,,,GRN,80.97%,14.03%,0.00%,5.00%,0.00%,0.00%,100.00%
IND,22.73%,25.17%,21.92%,0.00%,30.18%,,,ON,12.00%,58.00%,5.00%,0.00%,6.00%,19.00%,100.00%
OTH,18.14%,44.78%,37.08%,0.00%,0.00%,,,IND,19.32%,21.39%,18.63%,15.00%,0.00%,25.65%,100.00%
,,,,,,,,OTH,10.88%,26.87%,22.25%,40.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"BUNDOORA
(N-E METRO)",RAW,,,,,,,"BUNDOORA
(N-E METRO)",SYNTHETIC,,,,,,
Middle ring,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,9,,Index,1,2,3,4,5,6,9
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,0.00%,0.00%,0.00%,0.00%,0.00%,,,LNP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
GRN,73.94%,26.06%,0.00%,0.00%,0.00%,,,GRN,70.25%,24.75%,0.00%,5.00%,0.00%,0.00%,100.00%
IND,14.95%,30.64%,11.76%,0.00%,42.65%,,,ON,12.00%,58.00%,5.00%,0.00%,6.00%,19.00%,100.00%
OTH,22.30%,46.22%,31.48%,0.00%,0.00%,,,IND,12.71%,26.04%,10.00%,15.00%,0.00%,36.25%,100.00%
,,,,,,,,OTH,13.38%,27.73%,18.89%,40.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"BAYSWATER
(N-E METRO)",RAW,,,,,,,"BAYSWATER
(N-E METRO)",SYNTHETIC,,,,,,
Outer Metro,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,10,,Index,1,2,3,4,5,6,10
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,0.00%,0.00%,0.00%,0.00%,0.00%,,,LNP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
GRN,74.29%,25.71%,0.00%,0.00%,0.00%,,,GRN,70.57%,24.43%,0.00%,5.00%,0.00%,0.00%,100.00%
IND,15.78%,15.18%,39.98%,0.00%,29.05%,,,ON,12.00%,58.00%,5.00%,0.00%,6.00%,19.00%,100.00%
OTH,23.67%,47.72%,28.61%,0.00%,0.00%,,,IND,13.42%,12.90%,33.99%,15.00%,0.00%,24.70%,100.00%
,,,,,,,,OTH,11.84%,23.86%,14.31%,50.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"CROYDON
(N-E METRO)",RAW,,,,,,,"CROYDON
(N-E METRO)",SYNTHETIC,,,,,,
Outer Metro,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,11,,Index,1,2,3,4,5,6,11
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,0.00%,0.00%,0.00%,0.00%,0.00%,,,LNP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
GRN,76.28%,23.72%,0.00%,0.00%,0.00%,,,GRN,72.46%,22.54%,0.00%,5.00%,0.00%,0.00%,100.00%
IND,0.00%,0.00%,0.00%,0.00%,0.00%,,,ON,12.00%,58.00%,5.00%,0.00%,6.00%,19.00%,100.00%
OTH,29.11%,41.23%,29.66%,0.00%,0.00%,,,IND,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,OTH,14.56%,20.61%,14.83%,50.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"RINGWOOD
(N-E METRO)",RAW,,,,,,,"RINGWOOD
(N-E METRO)",SYNTHETIC,,,,,,
Outer Metro,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,12,,Index,1,2,3,4,5,6,12
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,0.00%,0.00%,0.00%,0.00%,0.00%,,,LNP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
GRN,80.55%,19.45%,0.00%,0.00%,0.00%,,,GRN,76.53%,18.47%,0.00%,5.00%,0.00%,0.00%,100.00%
IND,0.00%,0.00%,0.00%,0.00%,0.00%,,,ON,12.00%,58.00%,5.00%,0.00%,6.00%,19.00%,100.00%
OTH,27.67%,42.68%,29.64%,0.00%,0.00%,,,IND,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,OTH,13.84%,21.34%,14.82%,50.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"WARRANDYTE
(N-E METRO)",RAW,,,,,,,"WARRANDYTE
(N-E METRO)",SYNTHETIC,,,,,,
Outer Metro,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,13,,Index,1,2,3,4,5,6,13
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
